StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q1,Q2,Q3,Q4,Q5,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q19,Q45,Q20,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q35,Q36,Q37,Q38
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,This survey is based on the Impact of Covid-19 on online grocery shopping. Please answer the question below to aid with our research as the survey is designed around your experience with online grocery shopping.,What is your age?,Gender,What is the highest degree or level of Education you have completed?,What is your annual household income?,What is your current Employment Status,The ease of making purchase online influenced my online shopping decision during COVID 19,The option of contactless delivery/picking up of groceries influenced my online grocery shopping decision,Online grocery shopping is more convenient for me during COVID 19,Available discount for online grocery shopping during Covid 19  influenced my decision to purchase groceries online.,I purchase groceries online due to reward points I receive,I am more sensitive to the price of the products during Covid-19,Real time product prices comparison influenced my online grocery shopping during Covid-19,Confidence in the quality of products purchased influenced my online grocery shopping decision,Online product quality reviews influenced my online grocery shopping decision,The pandemic (Covid-19) makes me to use online grocery shopping,The pandemic (Covid-19) makes me to shop grocery online more often,The fear of contracting Covid-19 introduced me to online grocery shopping,I shop more online due to the fear of contracting Covid-19,Safety is the only reason why I shop for groceries online,I feel safe using online grocery shopping,The stay at home order motivates me to shop groceries online,The government stay at home policy made me to shop for groceries online more,The pandemic (Covid-19) made me to buy more grocery online than I usually do,The fear of stores running out of groceries influenced my online grocery shopping,The feeling of uncertainty not getting the items I want influences my online buying habits,I constantly check my cart while shopping online to ensure I do not overshoot my budget,Uncertainty in my continued earnings has reduced non-essential items I would have loved to buy,Online grocery shopping is fulfilling my needs because I only buy the necessary items,Reduced store operating hours influenced my online grocery shopping,I do more online grocery shopping now due to time limitation,Online grocery shopping makes products more accessible to me,There are more products available to choose online
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID45""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}"
11/1/20 21:28,11/1/20 21:28,Survey Preview,,100,22,TRUE,11/1/20 21:28,R_2rBgeqmziRNvt3t,,,,,33.09280396,-96.645401,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/20 21:32,11/1/20 21:33,Survey Preview,,100,6,TRUE,11/1/20 21:33,R_1DHeSiRxEDC2qaF,,,,,33.09280396,-96.645401,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/20 22:01,11/1/20 22:02,Survey Preview,,100,6,TRUE,11/1/20 22:02,R_26objFzf48X4rJf,,,,,33.10470581,-96.09269714,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/20 22:15,11/1/20 22:15,Survey Preview,,100,30,TRUE,11/1/20 22:15,R_2D66rR9UyYAFPJh,,,,,33.09280396,-96.645401,preview,EN,I have used Online grocery shopping before,20,Female,Master's degree,"$25,000 - $50,000",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/20 22:15,11/1/20 22:15,Survey Preview,,100,9,TRUE,11/1/20 22:15,R_1eDxRCl2goWDBoV,,,,,33.09280396,-96.645401,preview,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/20 13:20,11/2/20 13:20,Survey Preview,,100,6,TRUE,11/2/20 13:20,R_UFUUieaoVdCoCrf,,,,,32.92469788,-96.89170074,preview,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/20 20:09,11/2/20 20:10,Survey Preview,,100,71,TRUE,11/2/20 20:10,R_1MYB6dfmUZvg0Hu,,,,,32.95030212,-96.81900024,preview,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/20 20:10,11/2/20 20:25,Survey Preview,,100,919,TRUE,11/2/20 20:25,R_BJJhPwy7eQMWyxX,,,,,32.95030212,-96.81900024,preview,EN,I have used Online grocery shopping before,101,Male,8,"$200,000 and above",Employed full time,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree
11/3/20 10:58,11/3/20 11:01,Survey Preview,,100,182,TRUE,11/3/20 11:01,R_3GkWwzGFpc8QaXx,,,,,32.95030212,-96.81900024,preview,EN,I have used Online grocery shopping before,18,Male,Professional degree,"$200,000 and above",Employed full time,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11/3/20 11:45,11/3/20 11:47,IP Address,172.58.84.194,100,123,TRUE,11/3/20 11:47,R_1IQ159saHsNydj8,,,,,45.05459595,-93.25659943,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 11:47,11/3/20 11:51,IP Address,172.58.84.194,100,236,TRUE,11/3/20 11:51,R_1eJlichxe2YOpkI,,,,,45.05459595,-93.25659943,anonymous,EN,I have used Online grocery shopping before,24,Female,Master's degree,"$100,000 - $200,000",Employed part time,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
11/3/20 11:56,11/3/20 12:04,IP Address,97.99.31.4,100,508,TRUE,11/3/20 12:05,R_2DYOWNNUUh5l57Y,,,,,32.95030212,-96.81900024,anonymous,EN,I have used Online grocery shopping before,38,Female,Master's degree,"$50,000 - $100,000",Employed part time,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11/3/20 11:58,11/3/20 12:05,IP Address,154.118.69.45,100,414,TRUE,11/3/20 12:05,R_STTvx1IlL2sUk8N,,,,,6.447402954,3.390304565,anonymous,EN,I have used Online grocery shopping before,25,Female,4 year degree,"Less than $25,000",Employed full time,Agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree
11/3/20 12:04,11/3/20 12:07,IP Address,24.28.112.158,100,205,TRUE,11/3/20 12:07,R_307wp3qKlajkOSl,,,,,32.91029358,-96.728302,anonymous,EN,I have used Online grocery shopping before,38,Male,Professional degree,"$25,000 - $50,000",Unemployed looking for work,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
11/3/20 12:07,11/3/20 12:09,IP Address,197.210.47.168,100,97,TRUE,11/3/20 12:09,R_81UDpiILM357Nip,,,,,6.447402954,3.390304565,anonymous,EN,I have used Online grocery shopping before,24,Female,4 year degree,Prefer not to say,Employed full time,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
11/3/20 12:10,11/3/20 12:10,IP Address,102.89.0.146,100,28,TRUE,11/3/20 12:10,R_2zcGx4sqWl9PDOa,,,,,6.447402954,3.390304565,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 12:08,11/3/20 12:13,IP Address,172.113.107.87,100,293,TRUE,11/3/20 12:13,R_xyYuWKDK6HoB7AB,,,,,33.91679382,-118.3432007,anonymous,EN,I have used Online grocery shopping before,38,Male,Master's degree,"$50,000 - $100,000",Employed full time,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree
11/3/20 12:07,11/3/20 12:13,IP Address,41.217.83.154,100,371,TRUE,11/3/20 12:13,R_3MsbIY5FeAIBXBk,,,,,6.447402954,3.390304565,anonymous,EN,I have used Online grocery shopping before,27,Male,Master's degree,"Less than $25,000",Employed full time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
11/3/20 12:28,11/3/20 12:34,IP Address,98.200.23.250,100,334,TRUE,11/3/20 12:34,R_s6WYMHO79dsDM8p,,,,,29.74389648,-95.60669708,anonymous,EN,I have used Online grocery shopping before,35,Female,Master's degree,"Less than $25,000",Student,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11/3/20 12:36,11/3/20 12:37,IP Address,73.39.23.4,100,33,TRUE,11/3/20 12:37,R_2U4qbQEP2KDfFZ9,,,,,39.4940033,-77.46080017,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/20 14:13,11/3/20 14:20,IP Address,105.112.76.209,100,409,TRUE,11/3/20 14:20,R_24FV1DfyOzhEYSO,,,,,6.447402954,3.390304565,anonymous,EN,I have used Online grocery shopping before,27,Female,Master's degree,"Less than $25,000",Employed full time,Disagree,Disagree,Disagree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
11/3/20 12:32,11/3/20 14:39,IP Address,173.172.17.38,100,7644,TRUE,11/3/20 14:39,R_XoFh8UABtwHqh6p,,,,,33.10470581,-96.09269714,anonymous,EN,I have used Online grocery shopping before,30,Female,Master's degree,"$25,000 - $50,000",Student,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
11/3/20 16:32,11/3/20 17:11,IP Address,64.108.35.113,100,2300,TRUE,11/3/20 17:11,R_2cBqrxNuSqRSVYc,,,,,32.66090393,-97.03420258,anonymous,EN,I have used Online grocery shopping before,27,Male,4 year degree,"$50,000 - $100,000",Employed full time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11/4/20 2:23,11/4/20 2:26,IP Address,72.133.163.195,100,205,TRUE,11/4/20 2:26,R_UmVDH5gmgQEUy6R,,,,,42.60580444,-87.87619781,anonymous,EN,I have used Online grocery shopping before,43,Male,Master's degree,"Less than $25,000",Student,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
11/4/20 9:00,11/4/20 9:05,IP Address,174.255.133.47,100,307,TRUE,11/4/20 9:05,R_1llwMYmhtts9piF,,,,,32.77870178,-96.82170105,anonymous,EN,I have used Online grocery shopping before,24,Female,Master's degree,"$25,000 - $50,000",Employed full time,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree
11/4/20 9:04,11/4/20 9:07,IP Address,150.242.172.162,100,184,TRUE,11/4/20 9:07,R_3fGK8fUFK6K0UeK,,,,,28.63270569,77.2197876,anonymous,EN,I have used Online grocery shopping before,24,Male,Professional degree,"$50,000 - $100,000",Employed full time,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree
11/4/20 9:04,11/4/20 9:07,IP Address,70.121.63.14,100,180,TRUE,11/4/20 9:07,R_e5oZGLNQQi5b3fb,,,,,32.96359253,-96.74680328,anonymous,EN,I have used Online grocery shopping before,24,Male,Master's degree,"Less than $25,000",Employed full time,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
11/4/20 9:03,11/4/20 9:09,IP Address,223.229.244.190,100,355,TRUE,11/4/20 9:09,R_2vcPS0xCSViU3T8,,,,,19.07479858,72.88560486,anonymous,EN,I have used Online grocery shopping before,25,Male,2 year degree,"$25,000 - $50,000",Employed full time,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree
11/4/20 9:27,11/4/20 9:33,IP Address,49.32.12.145,100,315,TRUE,11/4/20 9:33,R_2zZ7vQKcDSRFP4x,,,,,19.07479858,72.88560486,anonymous,EN,I have used Online grocery shopping before,51,Male,2 year degree,Prefer not to say,Employed part time,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree
